Refusal type,HU in English friends,HU in English friends,HU in English friends total replies,UK in English friends,UK in English friends,UK in English friends total replies,HU in English peers,HU in English peers,HU in English peers total replies,UK in English peers,UK in English peers,UK in English peers,HU Hungarians in Hungarian with friends,HU Hungarians in Hungarian with friends,,UK Hungarians in Hungarian with friends,UK Hungarians in Hungarian with friends,,HU in Hungarian with peers,HU in Hungarian with peers,,UK Hungarians Hungarian with peers,UK Hungarians Hungarian with peers,
[Acceptance that functions as a refusal],0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,1,3.57%,28,0,0.00%,18,0,0.00%,28
[Acceptance that functions as a refusal - Lack of enthusiasm],0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,1,5.56%,18,0,0.00%,28
[Adjuncts to Refusal - Asking for interlocutor’s opinion after refusal],0,0.00%,23,0,0.00%,36,0,0.00%,17,2,6.25%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
[Adjuncts to Refusals - Statement of positive opinion/feeling or agreement],0,0.00%,23,0,0.00%,36,0,0.00%,17,1,3.13%,32,0,0.00%,21,0,0.00%,28,2,11.11%,18,0,0.00%,28
[Ask to discuss it],0,0.00%,23,0,0.00%,36,0,0.00%,17,1,3.13%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
[Attempt to dissuade interlocutor - Challenging the interlocutor],0,0.00%,23,0,0.00%,36,0,0.00%,17,1,3.13%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,3,10.71%,28
[IAttempt to dissuade interlocutor - Criticize the request],1,4.35%,23,2,5.56%,36,6,35.29%,17,5,15.63%,32,0,0.00%,21,0,0.00%,28,1,5.56%,18,1,3.57%,28
[Attempt to dissuade interlocutor - Criticize the requester],0,0.00%,23,1,2.78%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
[Avoidance - Verbal - Hedging],1,4.35%,23,2,5.56%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,1,3.57%,28,0,0.00%,18,1,3.57%,28
"[Excuse, reason, explanation]",5,21.74%,23,5,13.89%,36,3,17.65%,17,7,21.88%,32,2,9.52%,21,0,0.00%,28,6,33.33%,18,8,28.57%,28
[Express of dislike],1,4.35%,23,4,11.11%,36,0,0.00%,17,0,0.00%,32,3,14.29%,21,2,7.14%,28,0,0.00%,18,0,0.00%,28
[Express of disinterest],1,4.35%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,2,9.52%,21,3,10.71%,28,0,0.00%,18,0,0.00%,28
[IAttempt to dissuade interlocutor - Question interlocutor],0,0.00%,23,2,5.56%,36,0,0.00%,17,0,0.00%,32,1,4.76%,21,0,0.00%,28,3,16.67%,18,2,7.14%,28
[Interjection],1,4.35%,23,3,8.33%,36,0,0.00%,17,0,0.00%,32,1,4.76%,21,3,10.71%,28,0,0.00%,18,4,14.29%,28
[Nonperformative statement - Negative willingness/ability],0,0.00%,23,1,2.78%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
[Statement of alternative],7,30.43%,23,13,36.11%,36,7,41.18%,17,9,28.13%,32,10,47.62%,21,7,25.00%,28,3,16.67%,18,3,10.71%,28
[Statement of regret],1,4.35%,23,3,8.33%,36,0,0.00%,17,0,0.00%,32,1,4.76%,21,2,7.14%,28,0,0.00%,18,0,0.00%,28
[Compromise],0,0.00%,23,0,0.00%,36,0,0.00%,17,1,3.13%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
[Nonperformative statement - Negative direct statement],0,0.00%,23,0,0.00%,36,0,0.00%,17,1,3.13%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
[Pause fillers/[Interjection]],0,0.00%,23,0,0.00%,36,0,0.00%,17,1,3.13%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
[Statement of positive opinion/feeling or agreement],0,0.00%,23,0,0.00%,36,0,0.00%,17,3,9.38%,32,0,0.00%,21,1,3.57%,28,0,0.00%,18,3,10.71%,28
[Adjuncts to Refusals - “Have fun without me”],1,4.35%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
"[Nonperformative statement - No]
",1,4.35%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
[Wish],1,4.35%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
Hedging (main),1,4.35%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
Promise or possibility of future acceptance,1,4.35%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
[Second conditional acceptance],0,0.00%,23,0,0.00%,36,1,5.88%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
"[Adjuncts to Refusals - “Have fun without me”]
",0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,1,4.76%,21,0,0.00%,28,0,0.00%,18,0,0.00%,28
"[Attempt to dissuade interlocutor - Request for help, empathy, and assistance by dropping or holding the request]",0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,1,3.57%,28,0,0.00%,18,0,0.00%,28
[Attempt to dissuade interlocutor],0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,1,3.57%,28
[Sarcasm],0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,2,11.11%,18,0,0.00%,28
[Avoidance - verbal - postponement],0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,0,0.00%,28,0,0.00%,18,1,3.57%,28
[Avoidance (Silence)],0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,1,3.57%,28,0,0.00%,18,0,0.00%,28
[Express that they do not prefer it],0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,1,3.57%,28,0,0.00%,18,0,0.00%,28
[Nonperformative statement],0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,3,10.71%,28,0,0.00%,18,0,0.00%,28
[Pause fillers]/[Interjection],0,0.00%,23,0,0.00%,36,0,0.00%,17,0,0.00%,32,0,0.00%,21,2,7.14%,28,0,0.00%,18,1,3.57%,28
