formality,response_length
friends,1
friends,3
friends,3
friends,2
friends,2
friends,2
friends,3
friends,2
friends,4
friends,1
friends,2
friends,1
friends,1
friends,4
peers,2
peers,1
peers,3
peers,1
peers,2
peers,2
peers,1
peers,1
peers,3
peers,1
peers,3
peers,3
peers,2
peers,4
friends,1
friends,2
friends,3
friends,2
friends,3
friends,2
friends,2
friends,1
friends,2
friends,1
friends,4
friends,2
friends,3
friends,2
peers,2
peers,3
peers,2
peers,4
peers,2
peers,2
peers,2
peers,2
peers,5
peers,1
peers,2
peers,4
peers,2
peers,2
friends,3
friends,2
friends,3
friends,1
friends,3
friends,1
friends,3
friends,1
friends,2
friends,2
peers,2
peers,1
peers,2
peers,1
peers,3
peers,2
peers,1
peers,2
peers,2
peers,2
friends,3
friends,4
friends,1
friends,1
friends,2
friends,3
friends,3
friends,2
friends,2
friends,2
peers,3
peers,1
peers,1
peers,1
peers,2
peers,2
peers,2
peers,2
peers,2
peers,2
